Tf,Target
6660,4420
6660,8883
5120,3191
8467,5909
2440,332
2440,6213
2440,5969
2440,4762
6034,5148
4364,6005
6668,6097
5822,6178
5947,207
7482,6430
6185,5633
7947,601
6432,5590
5013,6267
5687,445
6555,445
6191,5590
5185,2395
6410,4452
6718,6638
5475,2065
5847,6275
3327,5674
5013,5219
2255,163
5013,6013
6380,6521
6403,8591
1483,6101
6994,2229
5872,5591
6380,6686
9787,5473
9787,8175
9787,9042
2161,5775
4711,2775
9408,6183
440,2334
6644,5577
4928,5591
7029,5633
7029,5393
7029,8099
5874,1078
7857,8804
5822,6011
4364,1380
1483,8265
6029,5577
5928,7559
5655,3999
5655,4270
4375,2482
2442,2482
6034,4353
2440,5955
5542,6444
1483,7739
6523,5574
9787,1924
1879,2338
5013,2393
6406,4270
6406,3999
4825,7461
9032,6084
1483,6006
5081,5850
11416,8467
5013,5932
4364,4366
6380,6421
5704,5083
9783,5540
9783,4001
9783,467
9783,6176
9783,4796
9783,6422
9783,3606
9783,6233
9783,7767
9783,5019
6374,6269
6488,6595
5757,5590
2307,5635
5468,9887
6644,6313
1334,5537
4825,729
9408,7766
6029,6313
5603,4505
211,6137
5013,2480
8028,5083
7029,900
9299,4776
6727,3849
6644,6237
6034,8130
2338,7069
6034,761
4481,4508
6380,4489
6380,5724
7316,6249
8004,6432
1938,9974
3864,8078
6488,4486
6374,5844
5058,743
5013,9794
6029,6237
6380,5601
1938,6080
5258,1872
4825,5928
9299,3615
5081,5918
6406,6430
1352,5751
4762,5751
8922,5751
332,5751
663,5751
2500,5751
5120,6444
6307,1872
2161,2760
5655,6430
7228,8637
9408,6696
5847,3191
7947,27
6403,6073
6374,2679
6718,6496
5900,6242
7029,5653
9299,5062
6592,6665
5769,4505
1879,7593
9408,2661
9299,3363
4941,6488
4711,4001
4711,5019
4711,467
4711,6233
4711,6422
4711,3606
4711,6176
4711,4796
7759,5590
7865,6513
7865,6405
6718,6132
5643,4891
3864,8637
4364,6521
4364,2226
4364,6686
5081,709
5081,4869
6718,2185
2480,6737
1334,6249
8467,5593
2500,10185
8922,10185
663,10185
6488,4986
5822,4357
4416,1721
2255,6628
5081,6486
1483,6583
2440,5912
4364,6421
6374,6214
5067,6240
3999,7020
2255,2006
4335,6410
1879,2856
1879,5666
5475,3362
449,4776
6720,7020
5475,2282
4364,5724
4364,4489
3999,2701
5081,6397
1483,1904
8467,5866
11812,6665
6374,2010
144,4420
144,8883
3444,2500
7997,6444
7505,2124
9299,482
7029,211
5081,5828
5660,7272
4364,5601
4947,6240
