Tf,Target
8199,8591
2182,5742
1483,6686
1979,5083
8467,2480
7577,5083
6668,5591
811,5083
6718,6250
5473,3785
2182,4954
9408,228
9299,6074
5877,5591
6029,2010
11416,2580
2313,4526
2313,5350
5013,7739
6231,4776
6307,11416
4468,2701
5947,3485
5013,7578
9299,5512
9299,5111
9299,1353
9299,1979
9299,7577
5822,6437
1938,6455
5655,4588
4825,6665
1483,5633
1483,8099
5655,6487
5060,6097
5792,8591
2255,6731
5013,6006
4762,9343
1352,9343
2500,9343
332,9343
663,9343
8922,9343
2440,4849
146,9887
4825,3582
6665,6097
5081,4891
4825,4576
5655,6267
5643,4839
6488,6005
6231,5826
1879,6183
6034,5908
2182,6615
3310,6430
6668,5909
11416,6421
2182,10339
211,5872
8804,8078
6488,5590
5464,8591
6644,6103
2078,8591
6668,5766
5542,6240
629,5918
5120,2282
6034,2441
4825,6281
3785,2316
6644,5900
9787,6868
10218,7228
6034,5245
6488,5644
6034,6521
1353,8591
3785,2229
454,5867
6644,5866
5067,5083
2440,4475
2440,6309
2440,11464
2440,5941
2440,5162
2440,1336
2440,12748
2440,6592
6627,5498
1334,6602
663,7746
2500,7746
8922,7746
5687,3888
6231,6665
6403,11416
5687,9593
7947,5218
11416,5454
211,7738
4364,5258
5822,1872
6644,6250
9299,4332
5119,2514
6403,7759
4825,7843
4825,7020
11416,5545
5655,6313
454,6480
6029,6303
2161,2334
6570,6097
4663,6097
2947,449
6463,449
4825,5826
146,7559
2182,5638
6851,5083
5655,11812
6185,6789
1634,5083
5655,2661
7029,5755
7029,331
9408,5218
8467,6953
8467,1661
8467,6261
6668,7558
5660,6209
1879,3010
5411,144
6263,2500
7154,7250
7154,7638
5013,3363
6718,4947
2212,5794
5258,4762
5847,3560
5258,5969
5013,3615
6269,5519
5013,5062
5694,8078
5822,6103
2500,8147
8922,8147
663,8147
332,8147
1352,8147
4762,8147
1643,5498
8467,9042
8467,8175
7766,2065
6380,5909
1839,1411
1839,6229
1839,6463
6718,9974
1839,2947
1839,1414
6412,2500
6029,5653
1483,6595
454,5932
6727,8078
629,6437
7490,440
4825,2087
4825,3939
4825,6476
4825,5147
4825,5966
4825,7112
2182,5500
6720,6695
6720,6585
146,9743
4375,4452
2684,8591
454,2124
629,1872
146,1078
7490,4886
6668,2455
454,8685
449,6011
5947,2239
10283,5083
449,5647
2500,3310
663,3310
5674,5647
8922,3310
4825,4315
5120,5422
5120,8637
6410,6019
1938,7559
2303,5522
6890,5522
3888,5083
4868,8591
6718,4951
2188,6240
909,6069
9299,6509
1483,5692
5475,2314
6415,8078
737,8078
8467,5688
8028,5456
6488,9688
6034,3697
7355,1986
449,6319
6403,5237
5013,5769
2212,2010
3278,8078
7780,4839
3785,4411
1334,4909
1334,10203
6034,5590
2440,2115
6216,4786
454,5503
5847,2314
4825,5918
6644,4947
2182,7567
4825,900
6403,4776
8922,1402
2500,1402
663,1402
1352,1402
332,1402
5237,8078
4335,6240
7638,5498
6467,6236
7593,4447
6644,9974
1868,6084
7250,5498
5218,5647
6720,5259
2440,2224
6928,8591
6403,8467
7029,5547
8731,8078
449,4986
6488,2423
6469,8591
5655,642
6380,5591
5822,5900
6034,6515
4468,4505
6660,8883
6660,4420
6203,8591
6307,8467
6668,6583
7355,6789
2129,8591
9688,4663
7029,1900
2230,6380
6718,7496
5758,5547
9783,5804
9299,6577
5258,2316
1313,4447
2255,540
6718,4797
5822,5866
6718,2091
1483,5838
5013,6319
6403,6665
5807,7252
5013,601
4369,4796
4369,4001
6644,4951
6034,5577
2182,6269
2182,4775
6403,4576
5947,4985
4469,2500
4416,4452
146,2439
6718,102
454,211
5013,6013
7947,6229
7947,6463
7947,1414
7947,1411
7947,2947
12549,3485
1669,6097
1839,2078
7029,4366
6380,2455
6034,12549
2303,6073
454,4417
6890,6073
4825,5181
5874,3849
6303,6213
5928,5633
5119,6380
2182,5095
6034,8748
1313,8542
1313,5933
6890,2784
6069,12916
2303,2784
7593,8542
10115,8591
6637,4891
5655,6182
6718,6979
7316,6720
5687,3864
5013,4986
4825,6068
1839,429
3615,8591
5062,8591
3363,8591
6718,6628
6231,5918
8922,8130
663,8130
332,8130
2500,8130
1352,8130
1483,6737
5758,4366
6185,7008
9299,5085
5655,7418
6403,7020
9778,2065
8028,11379
2182,5777
4711,5804
2338,6927
5013,6011
5724,4786
2338,4529
2338,3089
2338,4982
2440,2482
5655,2223
146,6632
6403,6281
7490,3922
710,8591
6307,6281
6307,5237
5807,6465
4825,2093
11416,2179
6718,5587
5013,5647
3849,6097
6303,5219
4364,3201
5903,5992
5903,5757
7347,8591
663,334
2500,334
332,334
8922,334
5815,8591
1483,433
1483,5756
5655,5792
2395,6275
6644,7496
6668,5115
6034,7482
6527,8591
6440,6888
6307,4776
6307,5826
1516,2500
6644,4797
6644,2091
9607,5635
1938,2439
2338,2480
454,1669
5058,331
5058,5755
6034,6005
1389,1002
4550,6696
7385,4663
5013,729
1334,4479
332,6829
2500,6829
8922,6829
1352,6829
663,6829
6644,102
6403,5826
5081,6585
5081,6695
2182,6494
2303,6455
6890,6455
6644,6628
318,5498
5877,6213
6034,5644
1313,7784
6029,6496
6660,6137
1334,10218
1879,3999
1879,4270
6523,6789
4481,5828
1658,8591
6231,6437
6644,6979
1879,1049
445,8591
4825,6437
852,5498
7355,8804
6644,5587
6660,1392
1938,6632
6029,4383
6034,5028
6307,6665
629,5866
5807,5724
5603,1352
5603,4416
6231,1872
629,5900
2182,6542
5822,4947
7490,1046
11812,5547
6637,6585
6467,2761
6403,5147
6403,2087
6403,7112
5245,8591
6403,6476
6403,5966
2182,355
6307,5966
6307,6476
6307,2087
6307,5147
6403,5918
4364,1981
12549,2239
6403,4315
2179,8591
4825,2899
5822,9974
440,5210
3556,5498
11416,6521
5603,2443
5540,4786
6029,6469
6034,9688
1352,7252
332,7252
4762,7252
663,7252
8922,7252
2500,7252
5655,5812
6467,6249
3785,2314
4375,5742
4825,1872
7593,7784
7355,7008
2440,4489
5250,6868
1879,9032
2334,6231
6069,6362
146,5912
2440,5601
9408,1411
9408,2947
9408,1414
9408,6463
9408,6229
11416,2441
146,1203
7817,8591
2338,6953
5655,9607
2338,6261
2338,1661
6034,6178
5928,5692
8467,6438
5822,4951
6718,4466
6403,900
629,6103
6307,6068
8028,5962
162,1583
5081,5259
6720,7852
9299,6106
7490,5828
2338,8175
2338,9042
6303,5781
1313,6602
5807,6265
6410,5647
1352,6185
663,6185
2500,6185
332,6185
8922,6185
5058,5547
4585,8591
6242,4973
6029,6728
4375,10339
6307,4315
9688,5083
6668,6213
7567,8591
318,5874
6668,5219
8004,5023
7316,5955
8922,2086
2500,2086
663,2086
8028,8730
7947,2078
11416,5245
6668,3561
1334,8712
2182,6012
9607,449
2182,5751
2182,2403
2500,6465
1352,6465
663,6465
4762,6465
332,6465
8922,6465
5455,679
6307,7020
5643,6678
7316,5708
5874,6240
5655,6532
2182,4756
6812,8591
1313,10203
1313,4909
454,2438
6307,900
5928,5838
7947,429
5638,6084
12549,4985
3191,5919
6303,2316
5822,7496
8467,7739
6185,6631
2303,7559
6890,7559
1938,1203
2182,27
2182,5844
8004,743
6380,6213
461,6097
5058,4366
8467,6006
2338,5688
629,4947
2182,4353
9299,10155
629,9974
7759,6868
4941,5729
1334,8156
6644,4466
5411,6444
2182,6237
8467,6019
4416,5742
1334,1391
1334,6191
7385,5083
9299,4849
1879,4298
5822,102
4825,6103
2091,679
4298,8591
5928,6737
2212,6496
5655,6668
440,6943
4375,5500
5013,11416
2212,4383
6303,5969
6303,332
6303,4762
2316,4796
2316,4001
6488,6082
1868,5804
5013,7759
2500,8527
8922,8527
663,8527
6374,10203
5822,6979
5874,8762
5655,5850
8028,5726
4416,10339
6523,7008
6696,2282
3327,679
146,13057
1352,5724
663,5724
8922,5724
4762,5724
2500,5724
332,5724
9408,2078
6668,2316
6488,5928
2276,2282
2067,7387
1313,6582
6029,5170
6029,545
7395,679
9299,5273
9299,11464
9299,11498
9299,12748
9299,6592
9299,6309
9299,5941
9299,4475
9299,5162
9299,1336
5655,4711
4985,4416
5411,5574
5473,3849
8004,4508
6403,6068
3753,4786
6303,2229
4941,4393
629,4951
6362,8591
6718,4346
9408,429
146,6686
6380,5219
6590,6868
4825,5900
6034,2423
6029,8589
6069,5522
5928,5756
5822,5587
2500,9772
8922,9772
663,9772
2182,4928
2161,4511
3999,7889
4825,5866
146,5633
8752,4786
7555,5498
13063,2500
6627,6097
2282,6084
6307,5918
1483,5909
3362,6084
6668,5781
6718,5758
8028,5979
8028,6214
11416,5577
6720,4386
6231,5866
6403,6437
2182,6101
6231,5900
5411,1017
5411,4171
5411,1721
332,6265
1352,6265
8922,6265
4762,6265
663,6265
2500,6265
1583,5498
6034,852
7766,3785
6488,10172
5877,5969
5807,4357
2212,6728
6403,2899
7355,6631
4825,6250
6251,5058
9408,144
5757,2282
6696,5422
5766,8591
2276,5422
5013,5237
629,7496
4468,5755
629,4797
629,2091
2230,8004
2303,2439
6890,2439
5218,4776
8922,6812
2500,6812
663,6812
332,6812
6720,6913
629,6628
7316,6233
7316,4796
7316,4001
7316,3606
440,709
10218,6236
1938,6686
5874,6069
5013,4776
449,6281
5537,6097
2182,2255
6644,4346
6644,5758
2395,5023
7947,144
7738,6084
449,4776
629,102
2182,4486
1643,6097
629,5587
6307,6437
11416,8748
7947,6412
6718,6311
1483,7558
6403,1872
1904,8591
11416,6178
3999,1658
8922,761
663,761
1938,5633
2500,761
1463,5919
6190,5919
6185,5218
6488,6638
6307,1872
7593,4909
7593,10203
4825,3952
1313,10218
5013,8467
1483,5591
6069,6073
449,5826
454,5456
6730,2500
6668,2229
6231,6103
4375,4775
4416,5500
629,6979
9794,8591
2182,7836
663,8509
2500,8509
8922,8509
5218,6281
9299,2224
8004,4916
5603,2701
6069,2784
1879,6415
4375,6269
5218,6665
6029,2212
5393,4416
5393,1352
6890,6632
6695,6632
2303,6632
5013,6665
5393,2443
7029,10185
2378,6263
162,5919
9299,2115
146,6595
10185,3849
5603,6403
5655,2079
5468,4663
5468,6570
6034,7101
11416,6005
5655,683
6403,6103
5013,4576
449,6665
6374,10218
6190,5750
1463,5750
5655,4643
11416,5590
6034,388
5218,5826
5655,5593
2212,545
2212,5170
5603,6416
6696,8637
4825,4947
11416,5644
5473,6240
6668,332
4416,6269
6668,5969
6034,2226
2276,8637
6668,4762
6029,389
1483,2455
7638,6097
2182,2300
2182,2276
11416,5028
909,6868
8525,2500
449,2087
449,5966
449,6476
449,5147
7250,6097
5013,7020
