Tf,Target
8922,6412
6746,5692
8015,5692
5518,5692
8219,5692
304,5692
3798,5692
7143,5692
8350,5692
1692,5692
3685,5692
5560,5692
6433,5692
3369,5692
6468,5692
1440,5692
6154,5692
7006,5692
5150,5692
8000,5692
4605,5692
2751,5692
5890,5692
5090,5692
8911,5692
3601,5692
5523,5692
1797,5692
7770,5692
7190,6082
5954,5692
6948,5692
7262,5692
4837,5692
9066,5692
5588,5692
5978,5692
7177,5692
2460,5692
4477,5692
8709,5692
3063,5692
4344,5692
7311,5692
5552,5692
3400,5692
365,5692
3985,5692
8437,5692
8514,5692
1680,5692
6065,5692
8479,5692
6442,5692
2213,5692
9342,5692
5501,5692
476,5692
5755,5826
331,5826
5773,6789
4550,7963
8761,3785
1669,5844
7313,710
9800,6521
6542,2282
163,6012
5060,2395
6488,1203
12879,2161
5120,6562
5874,1402
6245,12916
11416,3447
2106,836
8185,7963
2093,315
5181,315
449,7197
5763,2288
1336,2288
5971,2288
13063,601
5273,2288
4475,2288
12748,2288
5162,2288
11498,2288
11464,2288
10965,4479
6750,1872
7036,2226
5471,5995
6527,6421
4332,3362
4353,5136
4353,6604
4353,1801
2439,8591
4353,167
4353,5888
4797,6686
7250,10339
7578,13053
2173,5908
5464,2431
852,6237
5704,5219
5874,5912
7638,10339
4655,1669
2091,6686
5694,2115
5258,6005
211,8066
211,1362
211,5464
211,4452
35,4171
35,1721
7720,601
3697,601
10283,2442
8731,2701
10283,4375
1463,5028
6488,5826
4849,5480
6216,4786
7897,6789
5136,6789
8932,6789
6604,6789
5888,6789
167,6789
5086,6789
7622,2403
1801,6789
5210,4916
4469,6562
1463,6494
7112,228
3939,228
6825,228
8697,228
4469,2856
4469,5666
1463,12549
5133,2282
7484,5005
7190,1353
7484,1203
563,3653
4918,1380
8457,5724
5542,2701
1313,4846
6506,8589
6506,1498
6506,7505
6506,4383
5815,5115
5503,5218
5473,144
7111,7008
5464,8591
5013,6961
5581,1380
6135,5909
