gene,R_score
4917,6.822320353253827e-08
13608,6.802619285694952e-08
15875,6.762434689367783e-08
11737,6.761120364647991e-08
12609,6.751762014179875e-08
10775,6.744751655692619e-08
5898,6.739248846644206e-08
13537,6.726105483216537e-08
9825,6.721899159537285e-08
17477,6.623703002647039e-08
12274,6.61054795214417e-08
8195,6.609973468260787e-08
3457,6.603375834863536e-08
11341,6.596086483873418e-08
17396,6.523609313175479e-08
3077,6.511098509065785e-08
436,6.490771080037633e-08
1532,6.4852087314713e-08
7365,6.466530340488215e-08
17442,6.444001280471754e-08
154,6.410763900567928e-08
3088,6.361551293474728e-08
3276,6.3317647062325e-08
3630,6.302605107804434e-08
6662,6.289498101519955e-08
12623,6.289370388039463e-08
3476,6.28603842868334e-08
9387,6.259728758712286e-08
6081,6.259191152794554e-08
8901,6.231148441524762e-08
12957,6.224687195906973e-08
11229,6.220659662698737e-08
8293,6.205571721549199e-08
10120,6.161164886925761e-08
5260,6.160949839468947e-08
5138,6.150837204058611e-08
2408,6.142806615339453e-08
14522,6.134251455815912e-08
14350,6.1185294238545e-08
4254,6.111699883512048e-08
17084,6.104628590980589e-08
16403,6.093009237787805e-08
15253,6.084305583213671e-08
1548,6.076733680145377e-08
11631,6.055943526844024e-08
14163,6.050417986917043e-08
14229,6.036174444888011e-08
3225,6.027545092612329e-08
4904,6.024805929481154e-08
11148,6.022091919438098e-08
3637,6.016078661457903e-08
10314,6.011188027156513e-08
6310,6.003222185272744e-08
14659,5.996668148233208e-08
16608,5.98734799191463e-08
7082,5.986982813859408e-08
12659,5.982941427209896e-08
5847,5.975023101009451e-08
13384,5.974013739044321e-08
12614,5.965106688351455e-08
16199,5.942554096662943e-08
3096,5.933140606576188e-08
16009,5.892882136278903e-08
9561,5.8917146341579474e-08
11003,5.82983586003695e-08
17192,5.825994519246429e-08
12261,5.820206468996237e-08
17749,5.8139998773284266e-08
11730,5.8139749740103626e-08
7617,5.81196780806278e-08
15764,5.802457406094155e-08
11804,5.7984012218991695e-08
7052,5.7843671591892485e-08
14268,5.780206684070864e-08
12954,5.7783691900075296e-08
16305,5.7282092813422606e-08
4005,5.7135455636462235e-08
7269,5.711746355726163e-08
13260,5.7093370952794804e-08
6052,5.706648182371294e-08
17032,5.694501183599591e-08
14232,5.693447710813099e-08
4801,5.6751370082690654e-08
11721,5.657573114311836e-08
5119,5.6273545808087374e-08
6657,5.621472521507433e-08
7518,5.6134841760336424e-08
7328,5.608861673493468e-08
8346,5.604335984729558e-08
12979,5.583861933534589e-08
8505,5.575694091514366e-08
10984,5.5739652617818066e-08
16118,5.56134020787406e-08
14233,5.535789660819786e-08
12669,5.530328640039043e-08
4188,5.5130702364823645e-08
14300,5.5035595760188635e-08
12691,5.491687380852897e-08
1456,5.457541596159614e-08
3087,5.4401123600188245e-08
8878,5.4302904648566235e-08
8377,5.401615735464573e-08
11816,5.396333972990778e-08
9094,5.386151405877682e-08
12019,5.3698939442727194e-08
2762,5.3672523427707735e-08
5729,5.3636210733690045e-08
17472,5.357935751292162e-08
1739,5.35598964612433e-08
4532,5.351181073044647e-08
13282,5.348050491746228e-08
2887,5.346401439927338e-08
7749,5.340581729157393e-08
2648,5.3384282164462796e-08
7946,5.3043545557157976e-08
7105,5.281729863437663e-08
8282,5.2747848398103184e-08
2663,5.263427754520971e-08
17089,5.247694429903781e-08
12594,5.2465278500907667e-08
4165,5.2299932718314303e-08
11023,5.225922540724505e-08
5708,5.224909868688079e-08
8925,5.211695134773532e-08
4979,5.1986656045569695e-08
99,5.19398466541562e-08
2881,5.175249737404868e-08
10958,5.168856635473955e-08
9861,5.12519725805185e-08
6132,5.1189868162054444e-08
10983,5.105164101152878e-08
15409,5.096260336517e-08
17175,5.095754858028001e-08
15263,5.0897746354578006e-08
6610,5.0556742531176013e-08
8869,5.055507394263916e-08
1401,5.040224018121231e-08
17194,5.038884089444767e-08
13658,5.0360013256598774e-08
12536,5.0298268101071714e-08
7527,5.015058925140802e-08
6095,4.963094214310502e-08
11931,4.9512586747843095e-08
8162,4.944038305850349e-08
11724,4.9303816998658135e-08
9052,4.9177207961860486e-08
11827,4.9135418294073644e-08
11537,4.898487798577228e-08
11233,4.87804322780936e-08
11629,4.8730078446417676e-08
15797,4.8669158416597354e-08
7959,4.8617727364584826e-08
2615,4.853283758683448e-08
5605,4.851653077872284e-08
5929,4.847721833374593e-08
4501,4.828070738535073e-08
4746,4.8087192474684563e-08
14667,4.7953193116525414e-08
6613,4.785029599630134e-08
11757,4.7835523200318576e-08
4572,4.7772423409899637e-08
1519,4.744879746044044e-08
17016,4.7384357660688327e-08
531,4.720652283418916e-08
6001,4.68340521853545e-08
980,4.6723019254717065e-08
15994,4.669833698942953e-08
9154,4.6684138236600754e-08
2807,4.6460184175050945e-08
11609,4.6266867950096165e-08
1276,4.61894643813112e-08
17285,4.6132945589964634e-08
3925,4.609545144829091e-08
10369,4.6085946291948986e-08
432,4.608069603992558e-08
11094,4.578641809379648e-08
5156,4.566727948802851e-08
16480,4.566569204297751e-08
14333,4.561467929271242e-08
5879,4.537534334682807e-08
4440,4.523190100032658e-08
698,4.505530977709946e-08
5225,4.500563789984727e-08
7342,4.4990375122834744e-08
8072,4.49418328707336e-08
1351,4.478615844513248e-08
8138,4.465483507088822e-08
16910,4.4616743100668565e-08
11828,4.45134091308208e-08
745,4.417714336077995e-08
16971,4.40918370571832e-08
7069,4.399229166053787e-08
4101,4.390056165811668e-08
17753,4.381376215061558e-08
13563,4.363442598727134e-08
12146,4.356948358572622e-08
8129,4.3152731209422245e-08
3644,4.306864364387986e-08
955,4.296291472794908e-08
9151,4.293100783963096e-08
10361,4.2924679637241815e-08
8990,4.290464623439576e-08
10499,4.263081691851852e-08
181,4.247307611416328e-08
10119,4.2140567750119233e-08
688,4.210009475526353e-08
8185,4.200108187033923e-08
13369,4.14621483780932e-08
9136,4.1270838653579834e-08
17243,4.126384205511215e-08
11117,4.1206625594110043e-08
8205,4.11856837874744e-08
13515,4.1135792196818076e-08
17159,4.113148281006964e-08
13582,4.110889338171966e-08
12499,4.0927778865767195e-08
6401,4.078421125679476e-08
15190,4.065429632480849e-08
5417,4.064627666826132e-08
6547,4.051586541234246e-08
15310,4.0374811100193706e-08
14965,4.03573839632091e-08
11683,4.0183193426347564e-08
11987,4.002559829746635e-08
1971,3.9958955032027735e-08
7244,3.986536058156883e-08
8434,3.976728013227731e-08
7145,3.9717365825306954e-08
7108,3.9712658129692116e-08
2334,3.933797938364963e-08
5943,3.933797938364963e-08
11929,3.898788171812717e-08
3436,3.890678190992247e-08
12089,3.8630522421788014e-08
4137,3.845769102368008e-08
12190,3.823233258676313e-08
3662,3.8109644812362566e-08
7427,3.801163181660238e-08
13837,3.7935994814444044e-08
3943,3.791206872780968e-08
3703,3.7760684367641953e-08
5264,3.770192189065135e-08
11718,3.762882580340891e-08
10889,3.761317181805392e-08
4844,3.754085257678568e-08
9625,3.748951953061445e-08
14284,3.7397526866489714e-08
13318,3.7169543684522e-08
693,3.714505248693758e-08
900,3.7135399346337035e-08
11774,3.709222039435608e-08
826,3.696549378246233e-08
16487,3.655641853384325e-08
10999,3.655543165849317e-08
10400,3.6127565959393795e-08
12212,3.6072321731916074e-08
2400,3.5785009390384375e-08
6162,3.572170180380986e-08
5896,3.565690786287061e-08
750,3.5571901405554625e-08
2699,3.5458818091529866e-08
2874,3.54314619719837e-08
6269,3.5414094506334126e-08
3275,3.5004905063436886e-08
9109,3.499871544074338e-08
14423,3.492942030811528e-08
5905,3.464764097893715e-08
16414,3.426328691767667e-08
1030,3.422407361690781e-08
3819,3.407755946679706e-08
13279,3.404878183396613e-08
2656,3.352944611227585e-08
1254,3.348491132105721e-08
3480,3.34271393884465e-08
16492,3.3261367985047745e-08
10231,3.29975841475576e-08
13809,3.269271423261228e-08
4976,3.269175922039217e-08
6942,3.258745263376271e-08
17190,3.2516337836562425e-08
3018,3.197903844680243e-08
14756,3.1487341228230906e-08
9095,3.148431983437098e-08
9089,3.1090207017330875e-08
15413,3.10804028116565e-08
13287,3.05071724481571e-08
13999,3.036546949914714e-08
