,PseudoTime
s2549,2.346366594
s2502,2.349051952
s1150,2.365594691
s2397,2.374533524
s2548,2.379677277
s607,2.43421443
s2483,2.434889021
s182,2.437909563
s2537,2.441135435
s2237,2.62122753
s2220,2.664790662
s2314,2.675457078
s940,2.67893734
s2438,2.679662012
s2542,2.679662224
s2646,2.679662436
s2662,2.679662648
s2674,2.67966286
s2627,2.682751486
s2677,2.684184786
s2641,2.693969978
s2331,2.694712848
s252,2.702782322
s2504,2.705048929
s208,2.707401736
s2429,2.720783784
s928,2.729801397
s577,2.751459498
s818,2.770515165
s2322,2.770904817
s2306,2.772007415
s2659,2.775005328
s2666,2.78150197
s2559,2.783671759
s793,2.785512694
s11906,2.796144034
s2539,2.859359052
s731,2.86857445
s2391,2.891471123
s14031,2.898004389
s945,2.899188758
s152,2.926211578
s135,2.93433363
s11963,2.972083556
s2310,2.975911326
s567,3.008694806
s516,3.015448629
s280,3.076805803
s2592,3.317284123
s2187,3.323766438
s54,3.325240716
s2591,3.326151162
s228,3.327028869
s2410,3.328935478
s140,3.328993293
s13943,3.331943662
s2320,3.398256992
s11937,3.874319269
s2654,4.112874168
s2239,4.148291254
s2622,4.260481591
s610,4.985516869
s2618,5.015132035
s423,5.064501588
s146,5.175074141
s2509,5.250937147
s2668,5.401104126
s2547,5.464227923
s2336,7.226253848
