sample,Gene_count,UMI_count,EdU,Type,time,Main_cluster_name,UMAP_1,UMAP_2,Mouse_id,assay,Trajectory,Pseudotime,Trajectory_UMAP1,Trajectory_UMAP2
2362,964,1952,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.290632259,0.697286159,EdU_33,RNA,Oligodendrogenesis trajectory,0.006946348,3.974528836,-1.338076251
2478,1652,4311,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-8.806442271,-0.078562289,EdU_33,RNA,Oligodendrogenesis trajectory,0.006947196,4.128330277,-1.403868692
2608,1110,2271,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.884236346,0.28900975,EdU_33,RNA,Oligodendrogenesis trajectory,0.00694762,4.240106629,-1.465598958
2325,1171,2646,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.883078586,0.491093636,EdU_33,RNA,Oligodendrogenesis trajectory,0.008368559,2.795125531,-1.502859848
525,1566,3780,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-8.74764825,0.203596846,EdU_31,RNA,Oligodendrogenesis trajectory,0.008600449,4.78425269,-2.952312368
537,1240,2755,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-10.79548741,-1.811538666,EdU_29,RNA,Oligodendrogenesis trajectory,0.009101584,5.211539791,-2.068683761
342,2639,9825,DAPI,Aged,5D6,Oligodendrocytes progenitor cells,-9.100711833,-1.061222404,EdU_31,RNA,Oligodendrogenesis trajectory,0.011822676,1.911402272,-2.659713166
2308,1908,5795,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.230844508,-1.477242916,EdU_33,RNA,Oligodendrogenesis trajectory,0.011823947,2.184367226,-2.488665479
2415,1631,4009,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.611365329,0.638356418,EdU_33,RNA,Oligodendrogenesis trajectory,0.011824159,1.990695046,-2.514239448
2295,1694,4674,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-10.3112507,-1.823430746,EdU_33,RNA,Oligodendrogenesis trajectory,0.012588054,1.321950243,-1.772180575
