gene,s2383,s2356,s895,s2190,s2538,s2655,s2447,s2388,s2384,s2432,s288,s224,s2196,s1101,s2213,s2678,s2205,s2428,s2549,s2502,s1150,s2397,s2548,s607,s2483,s182,s2537,s2237,s2220,s2314,s940,s2438,s2542,s2646,s2662,s2674,s2627,s2677,s2641,s2331,s252,s2504,s208,s2429,s928,s577,s818,s2322,s2306,s2659,s2666,s2559,s793,s11906,s2539,s731,s2391,s14031,s945,s152,s135,s11963,s2310,s567,s516,s280,s2592,s2187,s54,s2591,s228,s2410,s140,s13943,s2320,s11937,s2654,s2239,s2622,s610,s2618,s423,s146,s2509,s2668,s2547,s2336
DLX6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOXN2,0.0,0.0,0.0,0.0,0.0,0.0,3.0854279360640264,4.085632256122937,0.0,3.166625134524323,2.3933621734673856,4.124743254015055,3.2653363012907795,0.0,0.0,3.2043980026930443,0.0,0.0,0.0,3.2158089257803804,3.539358508735116,0.0,0.0,0.0,0.0,0.0,0.0,2.8638524089679414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.343653165348285,0.0,0.0,0.0,0.0,3.322802157496813,0.0,0.0,0.0,0.0,0.0,0.0,3.520072716717148,0.0,0.0,0.0,0.0,0.0,0.0,3.151511540223939,0.0,3.849658364909693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.552122795903801,0.0,0.0,0.0,0.0,0.0,0.0,2.8764091077822336,0.0,3.7574956856433057,2.758175901266027,0.0
ESR1,0.0,0.0,0.0,0.0,0.0,3.1096534721859865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.297378886356144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1158115214707247,0.0,0.0,0.0,0.0,3.343653165348285,3.130343498704384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.565701738664599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1324384457896715,0.0,0.0,0.0,0.0,0.0,0.0
ETV6,0.0,3.2948744020224283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2043980026930443,0.0,0.0,3.0774935228,0.0,0.0,3.2158089257803804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.287308384907558,3.8701245318686737,0.0,0.0,0.0,4.163421818334223,0.0,0.0,0.0,0.0,0.0,0.0,3.1622815318927997,0.0,0.0,0.0,3.06377231028567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.330733340286331,3.177574788422617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.322802157496813,0.0,0.0,0.0,0.0,2.8764091077822336,0.0,0.0,0.0,0.0
POU2F1,3.124087248135773,0.0,3.3314334010250555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7273294693572687,3.9392068295073783,3.2043980026930443,0.0,0.0,3.0774935228,2.7136681934064333,0.0,4.792622100631517,0.0,0.0,0.0,3.297378886356144,3.592800427585953,0.0,3.9172310946335176,0.0,0.0,4.237858668959901,0.0,0.0,0.0,3.1199400328488176,0.0,0.0,0.0,0.0,3.8274193506325034,3.1158115214707247,3.15365545697618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.122011292347112,0.0,0.0,3.3331692955853027,0.0,0.0,0.0,0.0,0.0,0.0,3.9873169709146423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.378773316873693,0.0,0.0,2.8545495187019947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5409835997118755,3.465477604980907,3.7574956856433057,0.0,0.0
NR3C1,0.0,3.969311280965569,0.0,0.0,0.0,3.1096534721859865,3.0854279360640264,3.020092020405061,0.0,3.8384743174053337,2.3933621734673856,0.0,0.0,3.87704481667088,0.0,3.87704481667088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8252235912968953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67508018186464,0.0,0.0,3.8121537763676585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.060099106246683,0.0,0.0,0.0,0.0,4.566825279680198,0.0,0.0,4.085632256122937,3.2055327629577235,3.8340370048113233,3.322802157496813,3.113754229292744,3.3676821168092395,3.803538707456636,3.020092020405061,3.5409835997118755,2.4275051339655733,0.0,0.0,0.0
TFEB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2043980026930443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.122011292347112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.151511540223939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNAJC21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.343653165348285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAFB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POU3F2,0.0,0.0,0.0,0.0,2.865412369474101,0.0,0.0,0.0,0.0,0.0,2.3933621734673856,0.0,0.0,3.2043980026930443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9172310946335176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.786537971592368,0.0,0.0,0.0,0.0,0.0,0.0,4.147968989949927,3.733286850128273,0.0,3.322802157496813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2580965380214817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4275051339655733,3.7574956856433057,0.0,0.0
