TF,Target
7127,17689
10827,4482
17304,12519
6179,16655
11557,11315
12765,900
4984,13537
8804,13537
14309,15230
11604,1211
9100,2573
9283,15270
2674,2768
16009,8441
13432,15725
1519,1076
9151,9517
6264,17304
4534,12667
10110,1076
16898,15964
12366,3493
7517,17130
7517,9561
9831,3852
778,17252
2557,6796
2674,3077
6187,3259
14340,12212
5114,9094
7517,12261
11970,11713
3686,8784
12588,16275
7141,7092
7117,6187
14909,4961
7427,7459
1410,11315
4830,2573
15891,2923
15991,2573
1453,2573
13227,2573
6052,3483
6855,11557
5289,9517
774,8422
12760,2586
13584,7092
13581,17194
14246,9517
16198,11233
3344,4891
17304,10897
13581,12499
9632,9668
11993,1351
16492,5196
10449,4439
15160,3586
3997,17120
3344,7518
7698,16787
12588,10120
186,14430
1971,6187
854,3493
599,14169
715,12669
3344,750
12604,623
7698,8878
6624,4759
13287,8422
5964,13823
13545,623
8431,3784
15152,15655
17192,6796
532,8422
2272,8422
11425,2586
4000,12338
186,13556
5548,2573
11458,14807
15270,2586
5898,3833
15891,12979
15994,8365
868,12261
10860,14310
3997,4917
14080,6547
1896,17227
5905,5196
11970,4961
7517,7734
186,14268
11640,3936
12415,17472
5600,12667
11612,13918
9744,13918
15285,11774
344,14800
8920,14309
528,599
4926,5464
7698,3007
11316,12500
11739,4869
3997,11929
5896,6264
9798,5740
10902,5740
9749,16502
289,17130
289,9561
7517,428
8632,546
3686,14206
7759,5895
13581,228
9831,14310
13037,9332
4152,9517
5114,14667
2648,17227
6095,17425
12765,4801
7698,10844
16898,3225
13830,6187
13302,3936
970,9420
6311,6134
289,12261
12325,17227
3260,11557
13340,7955
9401,8422
1336,10109
11739,4917
10261,8862
11305,12518
2567,6935
553,960
4312,14204
5888,6763
15426,16565
970,15296
6757,6547
14965,4961
12588,14604
13584,6796
11739,10440
2557,3482
5987,7955
542,12729
8185,2586
13537,13328
5114,14612
2400,6187
2868,15655
17425,8514
186,8926
6311,13362
11185,14342
16795,4874
12212,4874
1532,2378
1896,15655
16418,6832
11185,13401
6133,14204
7201,4131
10261,11520
14651,14652
3997,10440
13581,12518
5138,2586
15994,2586
8632,3485
11739,17120
11929,11315
16898,9365
9668,599
11504,7955
5898,3475
12232,7955
17475,5891
1371,17304
289,7734
14300,7341
16434,14807
6722,11315
14769,15296
13584,3482
5120,12729
5847,16714
4938,4874
13037,6802
10384,2378
2648,15655
12063,6264
16001,11315
1055,13204
4819,1076
778,1456
7734,4961
9561,13723
12325,15655
289,428
1454,17175
9075,11013
2514,14145
2557,5196
7486,2874
7698,12190
5598,3936
15891,10555
10867,3903
7698,3574
3925,11315
5821,16487
4893,9332
9363,3936
7486,6664
7759,4312
868,428
11612,3018
4833,2378
11541,2378
11117,10109
9192,9831
6311,10909
6618,1076
14333,9517
9416,6832
6963,16502
11305,420
1447,14473
13268,15725
715,13661
11217,9332
186,344
15374,6132
11612,2420
9744,2420
2674,6691
5209,16487
14340,15994
9100,16241
7666,11013
14340,10150
14340,9089
8282,5464
12604,3482
13761,16955
13195,3493
11640,341
12478,1076
16912,1532
12597,8514
10563,3457
4926,7082
10617,16487
773,7269
10150,11013
8195,2573
11612,3476
14032,4631
13733,6588
12667,4940
16455,2378
7130,7427
1453,16241
12729,13540
15160,1266
10539,3483
14885,15725
11713,9517
228,6132
16241,8514
7517,1670
17175,14309
14944,13216
7141,6796
14756,10218
15227,16487
16869,14702
15581,12667
3431,17304
7666,14169
11993,9831
14032,5289
3007,11850
337,16565
11602,17689
9192,17194
9192,12499
10121,17475
7698,14420
4926,181
13826,8365
10617,3574
12500,12954
14910,3784
8939,4131
10617,10844
10775,9517
9112,13540
9112,9798
13287,13886
11725,599
11993,17194
12669,15725
10182,10451
5548,16241
14340,4055
8365,9517
532,13886
4882,6626
5826,14755
13586,15725
9401,13886
5888,10314
13584,5196
5138,8365
7079,15725
970,9156
12760,16955
16898,9387
1447,1401
9192,228
11993,12499
5494,1076
15227,5898
3686,10086
13581,7117
3212,13723
10182,12212
612,12931
2813,6301
154,3784
11987,17193
8172,4131
13303,8910
10182,8689
8632,5142
12499,15725
669,2378
14655,6802
528,12500
15160,11841
1447,10958
3686,14910
13655,16714
17472,16714
8990,14309
16436,1076
289,1670
11739,8363
6157,4165
3997,3260
10449,11607
10352,1283
9642,13328
15133,9332
10860,5105
868,17130
868,9561
14340,3007
743,17425
9192,12518
4833,7955
17156,9332
826,15725
12792,6802
8477,4961
9625,5708
9100,2699
7130,10983
13826,2586
6176,8689
7698,9182
8029,6796
1532,7955
8157,6796
11739,1040
4926,9500
5905,10399
10400,15725
11341,16714
11602,6763
11317,5307
9283,3077
14909,17689
3375,10127
6179,15875
16869,7100
15891,13195
11541,7955
5156,13328
7656,1076
5464,17475
15285,4801
14655,599
14910,12729
11185,4940
10867,13626
924,9983
7759,13200
13804,10109
1453,2699
13626,12729
6187,17452
14340,8878
99,4131
10384,7955
399,17425
8431,13582
8431,9077
553,13461
1447,12813
5209,546
6837,8365
13163,12667
1961,13769
8185,8365
12667,13402
2674,12715
5821,546
11640,17475
7759,16434
5717,9332
7201,4874
16898,12760
15409,4940
11519,16565
868,7637
14248,9420
11534,6301
11827,6626
16898,12535
6624,4398
8138,13769
13661,14145
10909,12729
15227,546
15891,13035
14651,3457
15190,9332
6837,2586
12986,16502
5114,8689
11185,10127
13542,14145
14080,16565
14861,6588
14340,9182
11993,228
16275,12691
10860,3852
5888,1447
14427,1076
9192,762
12425,2378
14232,1202
2274,2387
8632,13742
2799,612
17304,10957
14232,811
14232,7459
5114,10451
16275,1949
4932,7955
2824,14145
13260,17425
5898,1283
12632,12729
4926,17161
10352,11497
16898,2762
9756,15230
8361,3784
2400,6264
9632,17159
344,12597
15964,4961
7141,5196
4746,14655
9869,11557
16009,14656
9668,12500
5209,3485
12945,13723
7426,15230
7180,15230
13604,14473
4630,15725
14248,15296
13581,14109
3512,599
8939,4874
8900,1076
11828,9332
16455,7955
5821,3485
15160,10999
3958,14204
8282,7082
15227,3485
8926,14145
1055,9292
10451,4403
14340,16787
3660,1076
17175,14204
5114,12212
8506,8422
10352,15997
8282,181
14655,12500
6312,9385
5647,6796
14625,10352
9632,5910
16305,13769
12366,5891
16912,6538
15160,11257
12535,12597
17192,10399
6179,4917
12131,8910
2674,13867
15994,16955
7617,2378
17475,12792
7759,13644
15374,906
7759,15749
10182,15994
9744,14410
11612,14410
11305,940
906,8648
11305,3275
186,17142
10182,10150
10449,13282
12415,13362
10121,13432
11993,12518
13581,16281
5879,13769
10120,15725
14299,8910
11431,14652
9100,11013
7486,9861
3350,7113
7759,15427
17243,15230
1949,6301
9112,2377
10218,6802
15891,11504
12415,10909
5888,661
13195,8127
13733,5740
305,9420
14340,2693
13581,420
11341,14204
12760,4631
6179,10440
9112,1057
2674,14800
6095,17396
10182,9089
13195,5891
3344,8205
9192,7117
14529,11607
4830,11013
2615,9110
4729,11013
16072,11013
15991,11013
1453,11013
13227,11013
9645,17689
9283,6691
10539,4306
8282,9500
2674,8984
773,14427
3007,14756
3997,15289
13761,13216
5826,5895
3440,1076
669,7955
16898,14336
13804,1202
1957,13537
6651,16565
10261,13303
13804,811
13804,7459
6662,8910
14973,5289
16956,9332
10983,10127
3997,1040
5138,16955
9315,12518
16492,623
16241,17534
305,15296
9112,7180
1447,14723
17131,2586
9420,8910
8130,15230
17304,3276
15891,11537
14340,12190
9100,14169
14973,4631
8185,16955
12765,12782
8632,12415
9315,17194
5548,11013
7092,17304
16357,9420
15891,3940
7341,12667
3686,9953
12146,13361
13515,8365
695,10127
5821,5142
2615,10276
17043,12500
9075,6132
10526,17193
906,9315
14430,1076
9484,9420
4230,9420
2320,9420
6179,8363
15263,14145
8282,17161
6187,16655
4830,14169
1453,14169
13227,14169
16072,14169
15991,14169
15871,8365
10150,6132
7427,6832
12131,599
13581,3275
16357,15296
13604,10958
14309,11557
10279,12667
10449,6888
1447,10138
4882,11315
12588,12945
9192,14109
14944,4631
5898,11497
622,2378
854,14204
1447,9094
5209,5142
9749,14702
4926,3440
8172,4874
10451,542
6660,13576
14625,8422
15302,15296
3300,15296
2320,15296
9484,15296
4230,15296
864,15296
856,14145
17016,10276
2557,10399
10182,4055
5114,3436
16052,14309
3087,6626
371,9332
9500,3225
6157,8127
2674,5647
17396,16714
10900,9332
11305,16281
9283,5647
13655,4131
5548,14169
14944,5289
8157,5196
7759,8441
10889,10282
10451,17193
8632,7457
11725,12500
14612,17475
612,10891
2274,16491
7698,5898
12425,7955
8915,16714
10352,3480
1211,8422
1456,3903
15227,5142
10983,4940
553,6162
1670,1076
4312,9517
6138,6162
13604,12813
7698,16487
11185,854
2674,8072
2674,8162
6886,6547
16227,10844
10555,3493
11317,14625
5888,13723
13515,2586
617,10127
17534,8784
10617,5142
7625,11013
13608,13769
13584,2663
5114,15994
9629,11162
3686,4630
13461,15725
7698,546
5826,4312
5114,10150
3997,8879
16403,12338
9401,3391
15871,2586
646,9420
5114,9089
9192,16281
6670,8910
7759,9111
5888,5280
16620,15230
8431,3018
6081,6802
13545,8910
8029,10399
16281,13563
16492,10399
14548,7637
617,10865
8506,13886
9627,6052
16910,16714
16795,16565
646,15296
13826,16955
15311,9420
14529,13282
7698,3485
10617,546
5888,8127
6757,14548
12551,17304
12366,13770
9100,12551
14652,16502
14340,10844
13584,11726
4938,16565
5740,17304
698,6802
11317,13319
1447,10391
11305,14109
7617,7955
4979,4940
12212,16565
5964,4403
16898,11730
599,11013
4070,10282
3839,9420
13287,3391
7517,7269
11827,11315
7486,5964
7486,6778
7486,14939
3018,7955
8925,12597
12979,8514
970,6134
13581,940
532,3391
3441,2378
1055,15970
12500,10062
15311,15296
773,9107
7625,14169
5821,13742
11992,2543
9151,14309
305,9156
5209,13742
1244,17304
5289,14309
1453,12551
2674,8632
1447,14612
14340,14420
11993,420
2274,6803
5114,4055
3839,15296
17536,13540
773,11520
14268,16502
428,4131
11151,10138
2274,7637
10827,8784
8195,11013
1389,8422
5020,13537
3436,9517
15891,10231
773,8862
13584,10399
9283,12715
16275,11117
6312,13432
15227,13742
10539,6612
10182,3007
924,17472
10182,8878
14340,3574
2567,13540
854,13770
5847,4131
14547,12667
6095,9110
16912,17032
9192,420
3512,12500
13770,2378
12765,4976
12500,16403
6855,17425
17472,4131
5548,12551
16357,9156
17425,12729
6837,16955
16651,14655
228,906
14145,7955
743,10109
11739,3260
12131,12500
9484,9156
2320,9156
10182,2693
9744,8278
11612,8278
3465,599
16898,17659
6001,12667
854,5105
12765,17245
924,13361
10182,16787
11315,12667
3007,14965
16966,1076
12945,14652
2674,11775
15891,14229
10261,7440
14702,9517
7141,11726
8195,14169
16009,1202
3465,12500
9192,3275
6176,8878
16009,12681
16009,5123
16009,811
16009,2493
16009,7459
6095,10276
5114,3007
15160,13461
617,14909
3350,3158
5114,1388
11185,13402
9749,7100
3903,4961
10617,3485
6179,1040
16275,955
5826,13200
16418,4398
14625,13886
11602,6802
3260,17425
7486,11723
9182,12667
15996,14429
12366,12792
5964,542
11965,10352
16146,12667
15780,6626
