TF,Target
13761,3158
15871,3158
13305,3158
5209,12667
3481,12667
10617,12667
13302,12667
10539,12667
11612,12667
4230,12667
715,12667
13581,12667
9484,12667
7517,12667
14340,12667
15227,12667
15311,12667
2320,12667
15374,8664
9332,15253
743,13886
970,5494
15780,17198
2674,11148
12425,7637
4070,8636
13515,3158
924,14410
924,17227
17772,669
3350,11931
11965,6532
4751,9768
3686,7268
14651,15546
1371,10126
8029,10844
17396,3007
743,5498
6660,8514
4101,13540
16072,6532
9100,6532
1453,6532
5548,6532
15991,6532
13227,6532
7625,6532
10555,6532
4729,6532
13584,13190
11497,2272
15152,15655
10451,12212
13195,9387
1055,11631
305,7201
4830,6532
5647,13318
3995,12715
9500,11162
14655,7797
11640,3007
9291,410
11850,9365
4926,8030
10261,1336
7141,4439
5464,16491
3995,11192
10451,4819
553,485
289,3476
15289,2374
9401,6613
7141,13918
9385,14965
11850,15970
399,9182
6624,12614
14655,9332
15227,485
10617,485
7517,485
9484,485
2320,485
3839,485
6757,485
4230,485
11612,485
9744,485
13581,485
10539,485
5209,485
3481,485
14769,485
15311,485
13302,485
11559,485
14340,485
7130,485
3300,485
15302,485
715,485
17534,14800
12667,9191
11850,14473
16714,1202
16714,12681
16714,5123
16714,13723
16714,811
16714,3088
16714,12954
16714,7459
16714,940
4306,17143
868,3457
16898,6001
4751,17396
924,12594
17534,5464
612,6802
772,3784
15374,15771
2862,1030
305,3158
553,3476
6660,12979
1276,410
3995,3958
11123,6791
5826,3391
5826,14807
12588,16655
11305,16655
11602,1351
12588,14910
11305,14910
10451,14233
14612,3703
13195,11629
2400,14604
7285,12048
289,485
553,5260
5826,2824
2320,3476
15311,3476
10539,3476
3481,3476
14340,3476
13581,3476
715,3476
9484,3476
15227,3476
11612,3476
7517,3476
7141,9953
3512,10391
3436,17198
16357,4630
14651,8185
14651,259
14651,7365
14651,16146
14651,11706
868,10440
13733,410
399,7141
4746,8365
4230,5260
10617,5260
5737,5260
715,5260
7130,5260
7517,5260
15227,5260
11612,5260
3300,5260
6757,5260
3481,5260
14340,5260
14769,5260
2320,5260
15302,5260
9744,5260
13581,5260
11559,5260
13302,5260
5209,5260
15311,5260
864,5260
9484,5260
3839,5260
10539,5260
3686,8862
13362,17131
3350,6610
12588,11607
11305,11607
10451,13867
17772,4534
17772,16871
16357,1456
4926,3943
8130,14861
