TF,Target
6538,4874
11151,9077
7517,17194
15374,14656
7698,9089
2674,11683
12366,6763
2274,7637
11151,7082
6624,9111
5821,9077
11887,7955
6187,10150
7201,4131
553,10999
3998,2378
8694,11315
11604,8157
16912,4751
13584,15581
289,14109
10617,6547
3997,13999
16414,7955
3481,7457
3483,8422
16898,9401
12609,8514
11348,13402
12765,14910
13604,12813
7517,17472
5114,10440
15311,13303
2557,17475
16275,5729
9182,2378
6775,16714
7698,14612
14973,9111
14430,12729
8195,5363
4926,12813
10150,6301
14248,11233
11305,4482
1388,15725
14529,13267
14309,10276
2557,9803
12760,7100
2674,8984
778,14473
17534,10957
5307,10127
7141,9831
11316,6802
3481,7427
6157,11723
1389,10865
9869,10276
10121,3457
3344,10231
6624,14604
10499,6935
15152,4961
3936,14807
10208,17304
16898,12669
8947,6832
9292,8910
12366,906
1018,13537
11534,10086
10352,4759
14232,8636
3436,16565
3350,1401
6187,4801
11777,17227
7698,4926
1330,7637
7666,11497
16357,9089
6660,4844
10261,17194
646,4482
12131,14204
6187,546
15227,9156
14432,9109
9632,11816
11148,2543
5737,4165
15409,6802
8915,4131
7440,4131
773,13328
5114,8278
14651,826
13340,12729
16898,17532
10555,6301
11993,15854
5879,6944
7145,14800
12604,6796
4441,15725
6670,13328
7690,13200
2557,5895
8138,8910
17304,10449
9768,4131
17120,17304
14651,12338
10902,10127
14432,4904
9112,7092
16198,11013
8077,9052
10902,15655
773,5647
9749,14702
10261,17472
528,599
4588,2543
3631,4131
7666,9983
9744,1266
11612,1266
9798,854
3481,10068
13584,12500
3839,4482
9798,12478
5896,14702
9632,3686
2274,10827
15227,5898
16912,12170
10449,17159
13634,6626
17472,16714
13190,17304
695,8422
6095,5289
14944,599
15160,8689
5548,9983
12588,9983
10555,9983
12478,2378
13545,12500
9632,10261
9632,3212
16795,4131
14973,14807
8879,15725
9283,13369
695,4940
743,12478
5895,12729
11604,5123
11604,811
11604,6311
11604,11185
11604,7459
11604,7129
11604,2493
5821,7082
11317,11257
16714,10127
10451,17425
17534,12782
17142,6802
12366,12792
16281,15712
5964,13823
3686,12715
6660,4801
16357,6547
7426,6802
9869,11713
10182,3485
6095,7180
3512,13216
4687,13361
5898,9953
7341,1076
10384,1076
13804,623
14340,8431
5114,15427
11604,12681
16009,12500
698,15230
10352,6802
10827,1266
16357,14612
14909,9110
5598,5105
3997,5604
9363,5105
1389,3391
13362,14204
7526,15725
13581,6132
10897,1076
8632,7457
11604,3998
11604,1202
11604,17475
8505,7082
660,9983
16883,17534
8029,14807
4631,6944
5964,4961
5363,11315
14651,16275
13581,9387
11640,6301
11993,9983
661,9803
864,6547
6755,6547
14529,6547
7130,6547
5114,6547
11151,6547
10261,6547
9484,6547
15302,6547
9744,6547
16912,6547
9283,6547
3212,6547
13581,6547
10539,6547
6176,6547
13287,14342
2674,14344
13515,14204
6176,7427
6624,14807
4588,9517
532,14342
924,17689
6312,5105
16898,9758
3662,5891
186,14423
11217,11315
5898,6802
6660,10150
4882,16714
5497,15725
1447,12813
2923,14204
14232,12567
5114,11721
7759,14342
17193,6802
7690,5740
11965,4312
15227,13260
4588,6187
11914,15655
15227,8784
11640,9107
14229,12729
5114,856
2615,9110
3786,9332
3629,7180
8632,10068
3997,14204
11094,7955
15891,15546
13432,13644
13302,1211
14655,7341
5209,14910
6162,2586
14909,10276
9921,8514
14885,2543
9100,9983
186,5156
8030,8365
13809,8514
13200,16565
3806,7955
12588,15296
15891,259
5898,5987
13302,6547
2400,4874
13461,12729
7517,1040
11317,12261
6660,546
15311,3018
15152,15230
14310,15725
6176,7457
16912,14430
3936,14604
9748,12597
11640,12945
14080,4131
2393,12667
9500,12518
6312,10282
15891,8185
11783,3344
750,12729
7145,12792
688,3475
3662,14204
10182,8879
16898,12212
6035,4403
8632,7427
289,4398
773,15429
11431,9749
7955,4874
14340,4630
5114,371
17190,6626
5114,3259
1453,9983
9100,11497
7759,16434
12549,5105
532,10282
11148,9517
12588,11730
715,6547
11148,6187
13287,16434
5929,13886
6837,16502
1310,6547
13227,11497
16072,11497
4830,11497
1453,11497
2615,10276
11023,15725
16787,1076
5888,9749
2272,16434
532,16434
1256,6547
3686,4976
13604,10909
778,745
3436,11315
14973,14604
9904,7955
17534,10068
13515,16502
15581,2543
9100,8990
14723,16502
6886,12729
8130,9110
5114,10526
11612,12669
4893,12667
617,1057
532,10865
15871,16502
1453,8990
9112,13823
3643,2378
17659,8514
661,5895
3375,10399
11612,9401
15991,11497
13302,3833
9753,17194
5548,11497
17304,15270
10261,1040
15311,10440
14432,7637
715,4482
17304,9047
11993,9182
12715,1076
7486,15822
15311,15427
1371,9758
11914,10127
9052,14204
2557,14755
16871,2378
15160,5898
7328,8910
14909,11713
17534,7457
7759,10865
15311,8278
778,3574
9794,9983
6179,7326
10827,12669
6187,10983
11504,7955
5898,13658
7690,15997
9283,12715
153,7955
2274,2420
7698,228
15623,10391
10860,3475
6157,2693
3007,4532
6138,181
16912,12954
8130,10276
2274,7244
11604,9803
3275,8910
5464,12338
3123,7955
528,16955
4926,10138
16491,14204
924,4687
553,9315
3863,16565
5737,341
3997,528
14109,15725
868,11774
773,13563
14885,9517
970,4687
305,11123
12588,2762
11559,181
15374,3493
13584,6796
14944,16955
11757,16565
16912,8641
9869,12478
3839,6670
15160,9156
13545,6796
7127,623
3007,9500
14885,6187
13303,14204
6157,12536
12760,8365
289,3275
7130,1949
3997,9953
13302,1283
661,13617
3997,11458
1447,14420
4917,12667
6757,8648
7698,16787
9756,1057
854,3457
9632,6095
12232,1076
10889,2586
6660,10983
3007,3123
8077,9144
6176,10068
1389,5196
8282,12813
4926,10909
3997,2768
14340,6547
9112,4961
6311,10958
6660,9255
8664,12729
6944,6802
6179,1532
7625,11497
14032,8157
11612,12212
16912,11537
2674,924
11559,11774
14309,854
743,10282
3481,16487
4101,9983
7142,6626
16009,6796
186,8632
6095,15149
14336,16714
15581,9517
14668,6264
778,17161
8454,9332
13432,6935
12667,12500
2674,13369
5964,15230
7690,2377
6138,11774
16275,4891
8195,11497
773,1013
11425,2586
15581,6187
6179,3644
688,14310
9869,854
11993,15712
13319,16502
9122,15655
617,10399
16188,1076
12813,16565
10827,12212
16357,16787
12760,11557
12782,14204
15227,13362
13302,16491
8505,10526
16072,7637
12597,8514
10182,9089
7698,940
15891,11629
11151,10440
17304,15875
3344,8648
5114,12782
1447,10909
6757,1519
7285,14410
11534,6301
13515,4631
4869,1076
7517,6133
15160,8784
9112,7141
11721,4131
13634,14309
15891,16436
5114,10957
15311,856
3629,15149
16198,10120
9122,10127
15871,4631
11530,15149
11559,9420
16357,4926
11739,15994
7328,7955
15996,8127
9283,3007
15413,15725
6138,9420
5598,9831
8172,6547
15891,16414
15879,4188
11992,16502
9363,9831
12604,10218
3007,1949
11774,13540
773,5729
10352,13886
970,1351
5964,8910
8506,14342
11774,12338
9283,4976
14430,8514
868,181
11604,5895
9075,7734
14340,3260
9112,15230
12565,16565
6837,4631
8130,11713
6187,9255
9283,3077
13195,5123
13195,7459
13195,811
13195,2493
13540,6802
10279,12729
17016,13540
6311,12535
5647,623
7145,10109
713,2543
868,9420
6859,12729
661,14755
8157,622
9756,10399
6312,9831
15311,10526
16357,940
12594,1076
3047,7100
13302,14169
3936,17193
3686,3077
6775,341
11993,17089
14340,14910
10182,14612
13545,10218
2663,2586
6187,8878
16357,228
1389,16001
13655,16565
12669,2378
13384,15725
13584,10218
15997,7341
4534,2378
13195,12681
15227,10999
3344,1519
7666,6134
661,4759
3481,8431
7690,13401
5821,8278
8505,10440
10261,6133
13195,1202
8632,16487
14769,1351
14625,623
1211,16434
3686,8273
11993,12691
228,3936
5821,10440
16651,4131
15891,16146
8130,854
15311,3259
16418,6802
2378,6802
11965,11726
16912,8926
6660,8878
14909,12478
3703,16502
5879,14702
924,1351
12945,14656
13545,14204
773,11333
14909,854
15374,13432
4131,11013
10865,16565
16009,10218
5740,12667
474,7092
6311,12594
8157,8422
14300,16502
6624,17193
15939,1076
2274,5363
16912,4152
3260,9110
14547,2378
11604,13617
16281,11117
15994,13402
7759,3391
6311,14723
17016,8910
14973,17193
13340,8514
713,9517
14284,12729
6757,11804
305,11013
6233,14310
17534,7427
11739,13461
8506,16434
12549,9831
5888,7734
10221,9983
11725,13402
13227,9983
5717,6944
13604,14800
3863,11315
2674,7637
3903,10127
9416,6132
13604,10138
3483,3903
16281,16655
6612,15725
11431,7734
970,3158
305,17659
11777,12500
713,6187
1971,14702
3047,8365
16275,6792
11993,17252
7141,12338
17477,12729
11737,16714
7666,9387
11726,4131
2615,12478
5225,1076
3344,11804
924,3158
11683,4131
3476,16565
6179,8320
11992,4631
3431,12597
3703,14204
16912,344
970,11520
15200,16714
14248,15296
13581,7269
970,5307
17190,14309
11757,11315
661,10282
3047,11557
13302,5891
4000,7734
7517,14109
6796,4961
9420,16502
16869,2543
4631,14702
16357,13191
6651,14204
9748,4874
8939,4131
3260,10276
774,16434
7698,4055
695,3903
924,11520
8077,4165
3465,13769
8928,612
10860,14310
9109,9332
970,13318
7105,1076
7698,14299
14070,7734
4306,14342
17534,16487
3997,5987
3997,13658
6187,9106
924,13318
5114,7457
7666,3476
10449,7527
6233,3475
16403,15725
16275,9753
16357,4055
7486,6664
970,900
10121,1211
6176,16487
854,1211
17156,15725
5905,16434
11775,1057
186,2923
2881,16714
6691,2586
5821,10526
14651,6722
3018,1076
970,8862
7486,2693
3096,1076
14032,6311
14032,11185
14032,7129
14032,5123
14032,2493
14032,7459
14032,811
11970,7100
6311,12499
3225,4961
11993,4000
8130,12478
970,12565
8029,17193
7141,16275
12551,15725
8514,9332
11257,17534
11604,14755
13302,13770
10261,14109
14548,13361
15227,9315
11151,3259
3007,3440
3512,13769
16869,9517
14769,13318
15426,9332
8029,12338
15311,10957
5809,13216
3482,12729
3350,10958
17304,17753
13461,8514
15996,13328
8157,4940
15160,13362
15891,12170
16912,4439
13287,3391
2674,3007
924,900
6053,9517
9283,14861
12519,1076
2674,12715
532,3391
14032,12681
924,8862
3481,4630
3586,16565
16418,10218
8505,3259
11604,4759
6053,6187
11993,10897
12565,11315
16869,6187
7759,5196
9151,17304
12667,6796
12212,9332
11185,10399
15160,9315
17396,4131
14032,1202
14032,3998
14651,9385
10539,15419
17442,12338
5114,10068
16418,6796
7486,11723
10449,7069
11151,10526
7285,8689
4306,16434
15311,12782
13195,9803
13195,5895
5114,7427
12850,1076
5987,12729
7092,12667
17304,4917
13287,5196
9100,6134
6264,12667
7698,13742
16912,6310
10182,4926
2272,5196
532,5196
1057,7637
13037,17304
4830,6134
13227,6134
1453,6134
16072,6134
8632,8431
10865,11315
6855,16502
688,15749
289,7328
13655,11315
4532,13540
10110,1076
5600,1076
1961,2543
5821,3259
7666,6132
688,8441
17142,1076
6855,4631
13586,1076
2813,13361
7142,14309
3686,15854
474,13823
9283,8273
10451,10127
8138,2543
15991,6134
17016,7180
5847,9332
11185,1057
5548,6134
3007,14344
16898,11257
16357,14299
289,420
698,17425
5598,4188
8282,10138
16198,7268
6618,17534
1447,10138
9192,4687
14032,10208
15643,8434
16357,13742
10451,15655
13761,2586
12679,12729
11970,8365
13514,4131
12499,1076
8664,8514
16357,2387
3350,12594
16620,7341
9100,9387
9632,13604
371,12667
2868,13823
16198,3637
9122,8910
13999,13540
344,12597
854,1283
12274,4131
6660,9106
7201,16565
4830,9387
16072,9387
13227,9387
1453,9387
553,1266
11970,11557
6233,15749
14702,14204
11730,4131
8648,4961
10182,16787
6233,8441
13195,17475
6138,14410
6670,1739
10121,1283
10121,3833
17304,3276
16616,9332
773,1739
11217,6626
17304,6778
17304,14939
17304,5964
8632,4630
12729,6796
11725,599
9632,5119
15994,599
9255,4131
17304,5464
14612,16281
3686,9182
16247,12729
11777,6796
6311,9094
11559,14410
15991,9387
5363,6626
15891,14430
9632,13545
15427,15725
13302,15964
10113,13644
11739,6162
5548,9387
12415,4687
12604,4940
12325,7100
2674,4976
3997,7365
2586,1076
11775,10399
3476,11315
11816,12729
13769,2378
5138,2586
7690,17227
17304,14233
661,12609
6757,6547
7691,17689
5737,14659
10182,228
3350,14723
15643,5138
17043,13216
9100,3476
5598,12338
868,9983
14233,14145
9363,12338
11993,11117
3260,854
11965,7201
17032,14204
2567,542
7440,16565
14655,13540
5719,8910
13804,13200
11965,2870
2868,15230
4830,3476
13227,3476
16072,3476
1453,3476
7759,16001
955,13540
7130,14344
7517,4398
773,16247
10182,940
11602,16281
474,4961
1896,7100
16198,3225
12425,8910
8915,16565
6233,12232
10617,4801
1388,12667
14032,17475
8195,6134
612,4634
15160,10999
16898,12261
