TF,Target
14169,1211
14769,5891
12667,14344
9315,17194
15160,8784
5598,7341
8130,13723
1055,3637
10449,14890
14529,14890
10110,9517
9122,9831
15854,16502
11317,9597
2870,17534
5879,4403
11534,4844
1896,16714
12500,12813
6311,420
14080,14204
12565,11315
8694,6802
2674,11003
14080,2586
7440,11315
16912,4501
11827,9517
7625,1283
1971,10399
6081,4940
9632,4751
5888,6053
15374,12232
13319,14807
9756,8514
14300,14807
17016,9831
14612,3225
4534,14702
14248,13200
9904,14309
485,10526
868,14755
2648,16714
5888,15854
3909,9517
11683,8514
10449,13625
8205,14204
13191,12729
12535,599
13035,11777
11431,2377
11316,10399
14268,10399
1971,13402
3909,17532
289,10900
3493,6802
16403,6547
6132,15725
5821,4188
4687,12729
6176,14861
11431,17425
11305,10127
13302,13319
7955,12500
9401,7440
17156,15725
12500,9315
7486,9953
2870,14145
5123,14800
7127,8431
7127,7427
13584,9401
7100,14145
11739,4835
3212,7427
15160,8879
14885,13769
6095,1211
17304,7082
16247,17534
6312,15427
16357,13319
10617,16655
13305,1202
13305,811
13305,4759
13305,7459
13305,3998
13305,5123
13305,3088
13305,2493
13305,7129
14651,6832
7698,16434
11640,15230
3300,10391
14651,15581
13830,12549
6803,11777
10361,12729
8472,6944
2274,11725
13809,2543
14169,9332
10889,13769
16052,9831
8157,9191
14625,12945
904,12338
13305,12681
8506,4398
15419,6802
924,12535
10499,14807
11559,11774
12415,12518
13584,6001
10261,9365
5225,6944
3007,14548
14885,12729
7082,4398
6538,16565
715,13319
15311,13319
9484,13319
2320,13319
4230,13319
14340,13319
13581,13319
15227,13319
7517,13319
3839,13644
14655,12679
12325,16714
553,14656
14309,11497
5888,16281
9122,8422
14885,7955
5891,1076
7365,9517
4751,599
16912,5140
13195,6778
13195,14939
289,4810
15152,6301
646,13319
14336,15725
8185,9363
16247,14145
10261,13918
7146,10391
3512,5289
6935,9332
16241,17534
16883,15725
11602,3903
11479,940
14973,1076
8157,10958
8157,14723
11151,745
17016,8422
750,12729
2862,17193
617,15749
5821,12048
8320,11315
10867,3852
11316,13402
13514,10218
15879,8127
5647,13723
13191,7955
10062,1076
9904,12667
6837,10399
7759,17227
485,17475
7795,15655
9632,15133
10361,7955
3471,8422
16908,15655
1949,5604
4055,7092
9623,6802
186,14163
6624,7113
8365,13540
9283,4819
17192,8278
5260,14807
13826,17425
1244,6802
10150,9255
5114,2514
11305,12518
3483,8910
9283,12536
7486,1030
1971,8365
4501,4131
13604,3637
186,2768
13195,11723
15289,12500
9632,8072
12212,10399
9632,7518
9632,8162
11317,13163
16616,15725
6179,8273
599,10526
6660,3475
3225,12792
14529,12715
10449,12715
13021,4961
2862,14604
6775,17532
7486,3465
10449,13282
14529,13282
3819,2377
13319,10218
5879,542
4532,14204
14300,10218
12274,15655
773,12945
5979,9517
5847,12729
14310,15725
13542,6187
7691,13886
4874,13540
14547,6626
2274,8878
16912,16883
14965,6832
970,11774
13733,6722
8925,6626
15643,3784
3350,5891
6837,13402
854,7100
16052,8422
9332,5895
17534,14003
1336,2543
9365,6802
10361,13769
13282,8910
17159,14204
11148,2586
13904,9517
9632,17084
1401,9517
6095,9332
8157,9094
745,14204
3819,17425
10526,4940
5156,8514
762,2378
15546,17304
8632,8514
6311,13770
16241,14145
5826,4874
2674,13576
17285,4131
10999,10127
15160,14861
3656,11233
1410,12500
14809,6802
8205,16502
14309,5196
14769,11774
7759,14973
8361,12549
7486,16403
15428,14204
2274,14547
11914,16491
695,15230
5888,11117
6855,4940
6538,6802
617,13617
15374,4844
14432,8878
9363,5898
14756,14548
10218,4961
